name,domain,linkedin_url,industry,type,size,followers,founded_year,hq_city,hq_state,hq_country,website
Mustang Cat,mustangcat.com,https://www.linkedin.com/company/mustang-cat,Machinery Manufacturing,Privately Held,501-1000,22285,1952,Houston,Texas,United States,https://www.mustangcat.com
INDEX-Werke GmbH & Co. KG,index-group.com,https://www.linkedin.com/company/indextraub,Machinery Manufacturing,Privately Held,1001-5000,22065,1914,Esslingen,,Germany,https://www.index-group.com
Kärcher North America Inc.,karcher.com,https://www.linkedin.com/company/karcher-us,Machinery Manufacturing,Privately Held,1001-5000,21928,,Aurora,Colorado,United States,https://www.karcher.com/us
NETZSCH Group,netzsch.com,https://www.linkedin.com/company/netzsch-group,Machinery Manufacturing,Privately Held,1001-5000,21818,1873,Selb,Bavaria,Germany,https://www.netzsch.com/de
Fritsch Bakery Technologies,fritsch-group.com,https://www.linkedin.com/company/fritschbakerytechnologies,Machinery Manufacturing,Public Company,501-1000,21669,,Markt Einersheim,,Germany,https://www.fritsch-group.com/int/en
Cascade Corporation,cascorp.com,https://www.linkedin.com/company/cascade,Machinery Manufacturing,Privately Held,1001-5000,21396,1943,Fairview,Oregon,United States,https://www.cascorp.com
Carolina Cat,carolinacat.com,https://www.linkedin.com/company/carolina-cat,Machinery Manufacturing,Privately Held,1001-5000,21383,1926,Charlotte,North Carolina,United States,https://www.carolinacat.com
Rite-Hite,ritehite.com,https://www.linkedin.com/company/rite-hite,Machinery Manufacturing,Privately Held,1001-5000,21225,,Milwaukee,Wisconsin,United States,https://www.ritehite.com
Gleason Corporation,gleason.com,https://www.linkedin.com/company/the-gleason-works,Machinery Manufacturing,Privately Held,1001-5000,21077,1865,Rochester,New York,United States,https://www.gleason.com
Allen-Bradley,business.site,https://www.linkedin.com/company/allen-bradley,Automation Machinery Manufacturing,Public Company,10001+,20754,1900,Milwaukee,,United States,https://allen-bradley-ukraina.business.site
Ring Power Cat,ringpower.com,https://www.linkedin.com/company/ringpowercat,Machinery Manufacturing,Privately Held,1001-5000,20670,,St Augustine,Florida,United States,https://www.ringpower.com
Derrick Corporation,derrick.com,https://www.linkedin.com/company/derrick-corporation,Machinery Manufacturing,Privately Held,501-1000,20601,1951,Buffalo,New York,United States,https://www.derrick.com
Duravant,duravant.com,https://www.linkedin.com/company/duravant,Machinery Manufacturing,Privately Held,1001-5000,20589,,Downers Grove,Illinois,United States,https://www.duravant.com
BHS Corrugated North America,bhs-world.com,https://www.linkedin.com/company/bhs-corrugated-north-america-inc.,Machinery Manufacturing,Privately Held,1001-5000,20449,1992,Knoxville,Tennessee,United States,https://www.bhs-world.com/en
"Taco, Inc.",tacoinc.com,https://www.linkedin.com/company/taco-inc-,Industrial Machinery Manufacturing,Privately Held,501-1000,20355,1920,Cranston,Rhode Island,United States,https://www.tacoinc.com
SEW-EURODRIVE - USA,seweurodrive.com,https://www.linkedin.com/company/sew_eurodrive_us,Industrial Automation,Privately Held,10001+,20279,1931,Wellford,South Carolina,United States,https://www.seweurodrive.com
Carter Machinery,cartermachinery.com,https://www.linkedin.com/company/carter-machinery,Machinery Manufacturing,Privately Held,1001-5000,20216,1952,Salem,Virginia,United States,https://www.cartermachinery.com
